creditcardid,creditcardnumber,creditcardexpirationdate,userid
9467,9.96588E+13,11/1/2023,96342
58006,9.93218E+15,2/11/2024,29076
1499,9.93066E+13,9/25/2022,76394
26511,9.89012E+15,6/13/2025,19816
74574,9.8279E+13,4/30/2023,76339
10201,9.80293E+13,9/17/2024,7210
30249,9.76656E+14,1/5/2024,56104
13294,9.71756E+15,1/23/2024,34244
27923,9.71201E+14,9/29/2022,57236
5654,9.71182E+13,11/18/2022,76339
7202,9.65355E+14,6/30/2024,10295
2950,9.62174E+16,3/26/2022,25414
68556,9.6136E+13,12/16/2025,29694
53998,9.60018E+15,8/6/2025,86826
81395,9.57789E+13,12/10/2024,8680
78583,9.55199E+13,1/30/2024,29396
67870,9.51514E+15,2/14/2022,44135
30750,9.5144E+13,7/27/2024,29694
4242,9.51158E+16,9/29/2024,37182
10876,9.46387E+14,10/11/2022,42233
12824,9.42191E+16,8/29/2022,7210
25044,9.39496E+14,9/13/2023,4030
8555,9.3615E+13,7/16/2024,61663
60610,9.34968E+16,8/17/2024,93153
13084,9.33247E+16,7/25/2022,10489
37160,9.31021E+13,7/22/2025,63624
32529,9.29111E+13,5/31/2024,32346
75450,9.21689E+15,11/22/2022,36603
84084,9.21049E+15,6/20/2022,41432
37184,9.15832E+13,7/12/2022,18292
29543,9.14978E+14,7/19/2024,96067
11078,9.13128E+14,8/13/2025,49231
57646,9.10129E+14,10/4/2025,58685
87771,9.09451E+14,4/3/2023,99900
91427,9.0572E+14,6/27/2025,23757
8321,9.05606E+15,1/24/2024,48276
82954,9.03857E+14,3/30/2022,53783
33469,9.03417E+15,6/4/2024,51438
59226,8.99213E+16,2/5/2024,81731
49978,8.98459E+13,3/2/2025,8443
46612,8.94456E+14,11/6/2023,7957
24661,8.91552E+13,1/20/2023,76067
22189,8.88423E+14,2/28/2024,58937
37992,8.85909E+14,6/20/2024,18816
7301,8.84E+15,1/6/2023,65468
89982,8.82363E+13,12/22/2023,90259
21638,8.81536E+16,4/18/2023,29412
6045,8.81278E+15,5/16/2024,16548
9237,8.79724E+14,10/28/2024,81742
21077,8.78551E+15,5/24/2025,29894
64599,8.70718E+15,11/1/2022,53783
47738,8.59944E+15,7/24/2024,92916
29148,8.58632E+14,7/2/2024,10295
48867,8.5413E+14,5/14/2024,37109
99838,8.51704E+13,1/9/2023,92916
27015,8.42155E+14,2/14/2025,44135
62531,8.41984E+14,8/13/2023,93850
88531,8.38872E+14,3/15/2023,12476
64780,8.34526E+14,9/22/2024,51697
41807,8.33478E+14,10/11/2025,25092
3011,8.33153E+13,11/14/2024,76339
38904,8.31012E+13,9/11/2023,61107
80725,8.26814E+14,8/2/2023,12476
27672,8.26316E+13,1/6/2025,29076
404,8.24228E+15,11/2/2024,98744
624,8.22482E+15,11/23/2022,29694
78369,8.21867E+16,5/5/2024,93153
16012,8.2108E+14,1/12/2025,11622
33944,8.1652E+15,1/4/2024,12406
47082,8.16313E+14,2/8/2022,7210
38043,8.14437E+16,1/26/2025,24052
66957,8.14018E+16,12/15/2025,78370
90412,8.13297E+15,11/2/2025,2328
36749,8.12769E+13,10/7/2022,81731
